,Player_Name,Stats_Span,Matches_Played,Batting_Innings,Not_Outs,Runs_Scored,Highest_Score,Batting_Average,Batting_SR,Hundreds_Scored,Fifties_Scored,Ducks,Bowling_Innings,Balls_Bowled,Maidens,Runs_Given,Wickets_Taken,Best_Figures,Bowling_Average,Economy,Bowling_SR,Five_Wicket_Haul,Ten_Wicket_Haul,Catches_Taken,Stumps
751,Muhammad Moiz,2024-2024,8,8,0,90,25,11.25,128.57,0,0,1,7,141,1,173,12,3/26,14.41,7.36,11.7,0,0,6,0
752,Muhammad Muneeb,2024-2024,15,15,1,341,54,24.35,124.00,0,2,2,1,12,0,12,0,0,0.00,6.00,0,0,0,7,0
753,Muhammad Nadir,2024-2024,15,8,4,54,17*,13.50,112.50,0,0,0,15,342,1,316,17,3/47,18.58,5.54,20.1,0,0,4,0
754,Muhammad Saleem,2024-2024,1,1,0,22,22,22.00,200.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,1,0
755,Muhammad Salman,2024-2024,1,0,0,0,0,0.00,0.00,0,0,0,1,6,0,12,0,0,0.00,12.00,0,0,0,0,0
756,Muhammad Siddiqui,2024-2024,6,6,0,82,31,13.66,106.49,0,0,1,6,126,0,107,8,3/10,13.37,5.09,15.7,0,0,3,0
757,Muhammad Tahir,2024-2024,2,1,0,3,3,3.00,30.00,0,0,0,2,17,0,21,1,1/9,21.00,7.41,17.0,0,0,0,0
758,Muhammad Tanveer,2024-2024,7,7,1,350,80*,58.33,148.93,0,3,0,1,6,0,22,0,0,0.00,22.00,0,0,0,6,0
759,Muhammad Umar,2024-2024,11,7,2,99,30*,19.80,150.00,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,6,0
760,Muhammad Wafiq,2024-2024,9,3,1,5,4*,2.50,38.46,0,0,1,8,108,0,173,2,1/23,86.50,9.61,54.0,0,0,1,0
761,Muhammad Waseem,2024-2024,14,14,2,530,100,44.16,161.58,1,4,2,1,6,0,8,1,1/8,8.00,8.00,6.0,0,0,12,0
762,Muhammad Zafar Khan,2024-2024,5,5,2,67,24,22.33,121.81,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
763,Muhammed Manga,2024-2024,2,2,0,25,25,12.50,86.20,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,1,0
764,Muhammed Turkmen,2024-2024,2,2,0,7,6,3.50,100.00,0,0,0,1,12,0,28,0,0,0.00,14.00,0,0,0,0,0
765,Muhammet Bicer,2024-2024,3,3,1,6,5,3.00,100.00,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
766,Mujeeb Ur Rahman,2024-2024,3,1,0,21,21,21.00,233.33,0,0,0,3,54,1,69,3,2/21,23.00,7.66,18.0,0,0,0,0
767,Mukesh Kumar,2024-2024,6,1,0,0,0,0.00,0.00,0,0,1,6,121,0,173,10,4/22,17.30,8.57,12.1,0,0,0,0
768,Mukhtar Ghulami,2024-2024,6,4,0,20,11,5.00,54.05,0,0,1,0,0,0,0,0,0,0.00,0,0,0,0,1,0
769,Murid Ekrami,2024-2024,4,3,1,43,28,21.50,130.30,0,0,1,4,62,0,108,2,1/15,54.00,10.45,31.0,0,0,1,0
770,Musaddiq Ahmed,2024-2024,4,4,0,99,48,24.75,180.00,0,0,0,4,84,0,103,2,1/22,51.50,7.35,42.0,0,0,4,0
771,Musawar Shah,2024-2024,6,2,2,1,1*,0.00,100.00,0,0,0,6,126,0,166,10,3/42,16.60,7.90,12.6,0,0,1,0
772,Muslim Yar,2024-2024,4,2,0,22,15,11.00,146.66,0,0,0,4,96,0,94,6,2/15,15.66,5.87,16.0,0,0,1,0
